"Species_name_orig" "Region_name_orig" "Group" "Code" "Taxon_group"
"55" "Pelophylax bergeri" "France (Corsica)" "Amphibia" "COR-OO" "Amphibians; Reptiles"
"56" "Eleutherodactylus johnstonei" "Costa Rica" "Amphibia" "COS-OO" "Amphibians; Reptiles"
"57" "Osteopilus septentrionalis" "Costa Rica" "Amphibia" "COS-OO" "Amphibians; Reptiles"
"58" "Rhinella marina" "Micronesia (the Federated States of)" "Amphibia" "CRL-MF" "Amphibians; Reptiles"
"59" "Rhinella marina" "Palau" "Amphibia" "CRL-PA" "Amphibians; Reptiles"
"60" "Lithobates catesbeianus" "Cuba" "Amphibia" "CUB-OO" "Amphibians; Reptiles"
"61" "Amietophrynus regularis" "Cape Verde Islands" "Amphibia" "CVI-OO" "Amphibians; Reptiles"
"62" "Pelophylax kurtmuelleri" "Denmark" "Amphibia" "DEN-OO" "Amphibians; Reptiles"
"63" "Lithobates catesbeianus" "Dominican Republic" "Amphibia" "DOM-OO" "Amphibians; Reptiles"
"64" "Rhinella marina" "Dominican Republic" "Amphibia" "DOM-OO" "Amphibians; Reptiles"
"65" "Lithobates catesbeianus" "Ecuador" "Amphibia" "ECU-OO" "Amphibians; Reptiles"
"66" "Rhinella marina" "Fiji" "Amphibia" "FIJ-OO" "Amphibians; Reptiles"
"67" "Ichthyosaura alpestris" "Finland" "Amphibia" "FIN-OO" "Amphibians; Reptiles"
"68" "Eleutherodactylus coqui" "Florida" "Amphibia" "FLA-OO" "Amphibians; Reptiles"
"69" "Eleutherodactylus planirostris" "Florida" "Amphibia" "FLA-OO" "Amphibians; Reptiles"
"70" "Osteopilus septentrionalis" "Florida" "Amphibia" "FLA-OO" "Amphibians; Reptiles"
"71" "Rhinella marina" "Florida" "Amphibia" "FLA-OO" "Amphibians; Reptiles"
"72" "Rana temporaria" "Faroe" "Amphibia" "FOR-OO" "Amphibians; Reptiles"
"73" "Proteus anguinus" "France" "Amphibia" "FRA-FR" "Amphibians; Reptiles"
"74" "Discoglossus pictus" "France" "Amphibia" "FRA-FR" "Amphibians; Reptiles"
"75" "Lithobates catesbeianus" "France" "Amphibia" "FRA-FR" "Amphibians; Reptiles"
"76" "Pelophylax bedriagae" "France" "Amphibia" "FRA-FR" "Amphibians; Reptiles"
"77" "Pelophylax bergeri" "France" "Amphibia" "FRA-FR" "Amphibians; Reptiles"
"78" "Triturus carnifex" "France" "Amphibia" "FRA-FR" "Amphibians; Reptiles"
"79" "Xenopus laevis" "France" "Amphibia" "FRA-FR" "Amphibians; Reptiles"
"80" "Eleutherodactylus johnstonei" "French Guiana" "Amphibia" "FRG-OO" "Amphibians; Reptiles"
"81" "Scinax quinquefasciatus" "Ecuador (Galapagos)" "Amphibia" "GAL-OO" "Amphibians; Reptiles"
"82" "Rhinella marina" "Ecuador (Galapagos)" "Amphibia" "GAL-OO" "Amphibians; Reptiles"
"83" "Eleutherodactylus planirostris" "Georgia(US)" "Amphibia" "GEO-OO" "Amphibians; Reptiles"
"84" "Lithobates catesbeianus" "Germany" "Amphibia" "GER-OO" "Amphibians; Reptiles"
"85" "Lithobates catesbeianus" "Greece" "Amphibia" "GRC-OO" "Amphibians; Reptiles"
"86" "Lithobates catesbeianus" "Haiti" "Amphibia" "HAI-HA" "Amphibians; Reptiles"
"87" "Rhinella marina" "Haiti" "Amphibia" "HAI-HA" "Amphibians; Reptiles"
"88" "Eleutherodactylus martinicensis" "Hawaii" "Amphibia" "HAW-HI" "Amphibians; Reptiles"
"89" "Dendrobates auratus" "Hawaii" "Amphibia" "HAW-HI" "Amphibians; Reptiles"
"90" "Eleutherodactylus coqui" "Hawaii" "Amphibia" "HAW-HI" "Amphibians; Reptiles"
"91" "Eleutherodactylus planirostris" "Hawaii" "Amphibia" "HAW-HI" "Amphibians; Reptiles"
"92" "Lithobates catesbeianus" "Hawaii" "Amphibia" "HAW-HI" "Amphibians; Reptiles"
"93" "Glandirana rugosa" "Hawaii" "Amphibia" "HAW-HI" "Amphibians; Reptiles"
"94" "Rhinella marina" "Hawaii" "Amphibia" "HAW-HI" "Amphibians; Reptiles"
"95" "Eleutherodactylus planirostris" "Honduras" "Amphibia" "HON-OO" "Amphibians; Reptiles"
"96" "Lithobates catesbeianus" "Idaho" "Amphibia" "IDA-OO" "Amphibians; Reptiles"
"97" "Taricha granulosa" "Idaho" "Amphibia" "IDA-OO" "Amphibians; Reptiles"
"98" "Lithobates catesbeianus" "Indonesia" "Amphibia" "Indonesia" "Amphibians; Reptiles"
"99" "Bufo bufo" "Ireland" "Amphibia" "IRE-IR" "Amphibians; Reptiles"
"100" "Pelophylax shqipericus" "Italy" "Amphibia" "ITA-IT" "Amphibians; Reptiles"
"101" "Xenopus laevis" "Italy" "Amphibia" "ITA-IT" "Amphibians; Reptiles"
"102" "Hyla meridionalis" "Italy" "Amphibia" "ITA-IT" "Amphibians; Reptiles"
